domain,pair_index,evaluation_seed,environment_id,baseline_success,final_success,baseline_fell,final_fell,baseline_timed_out,final_timed_out,baseline_return,final_return,baseline_intervention_per_riser,final_intervention_per_riser
target,146,125000001,18,True,True,False,False,False,False,11.811323165893555,11.75551986694336,1.0,1.1111111640930176
target,147,125000001,19,True,True,False,False,False,False,10.79603385925293,8.795634269714355,0.4444444477558136,0.3333333432674408
target,148,125000001,20,True,True,False,False,False,False,9.480656623840332,11.33751106262207,0.7777777910232544,1.1111111640930176
target,149,125000001,21,True,True,False,False,False,False,10.149230003356934,7.9822893142700195,0.4444444477558136,0.1111111119389534
target,150,125000001,22,False,True,True,False,False,False,-0.7273728847503662,8.741665840148926,0.5555555820465088,0.3333333432674408
target,151,125000001,23,True,True,False,False,False,False,10.382966995239258,10.174694061279297,0.6666666865348816,0.4444444477558136
target,152,125000001,24,True,True,False,False,False,False,10.428291320800781,11.844554901123047,1.2222222089767456,1.3333333730697632
target,153,125000001,25,True,False,False,True,False,False,12.198043823242188,-1.1887197494506836,1.6666666269302368,4.6666669845581055
target,154,125000001,26,True,True,False,False,False,False,9.194600105285645,10.090225219726562,0.6666666865348816,0.2222222238779068
target,155,125000001,27,True,False,False,True,False,False,10.244680404663086,3.080418586730957,0.3333333432674408,1.1111111640930176
target,156,125000001,28,True,False,False,True,False,False,8.327141761779785,-4.81627893447876,0.2222222238779068,2.2857143878936768
target,157,125000001,29,True,True,False,False,False,False,12.16282844543457,12.224913597106934,1.5555555820465088,1.2222222089767456
target,158,125000001,30,False,True,True,False,False,False,-11.453996658325195,8.71102523803711,9.800000190734863,0.1111111119389534
target,159,125000001,31,True,True,False,False,False,False,11.880270004272461,8.928154945373535,0.4444444477558136,0.1111111119389534
target,160,125000001,32,True,False,False,True,False,False,11.660205841064453,0.0562443733215332,0.6666666865348816,1.0
target,161,125000001,33,True,True,False,False,False,False,8.996664047241211,8.772319793701172,0.2222222238779068,0.6666666865348816
target,162,125000001,34,False,True,True,False,False,False,-1.4146904945373535,11.386594772338867,1.75,0.3333333432674408
target,163,125000001,35,True,True,False,False,False,False,10.514839172363281,11.251300811767578,0.8888888955116272,1.3333333730697632
target,164,125000001,36,True,True,False,False,False,False,9.923654556274414,9.362667083740234,1.1111111640930176,1.4444444179534912
target,165,125000001,37,True,True,False,False,False,False,11.345100402832031,12.087480545043945,0.8888888955116272,1.0
target,166,125000001,38,False,False,True,True,False,False,-0.8047752380371094,-0.6112079620361328,2.0,0.5555555820465088
target,167,125000001,39,False,True,True,False,False,False,-4.852720737457275,10.464170455932617,7.5,0.4444444477558136
target,168,125000001,40,True,True,False,False,False,False,9.599237442016602,10.95869255065918,0.7777777910232544,0.6666666865348816
target,169,125000001,41,True,True,False,False,False,False,9.394637107849121,8.751335144042969,0.1111111119389534,0.2222222238779068
target,170,125000001,42,True,False,False,True,False,False,11.185279846191406,-18.1270751953125,0.2222222238779068,27.75
target,171,125000001,43,True,True,False,False,False,False,8.806625366210938,8.491108894348145,0.1111111119389534,0.5555555820465088
target,172,125000001,44,True,False,False,True,False,False,9.918052673339844,-2.9765281677246094,0.3333333432674408,0.3333333432674408
target,173,125000001,45,False,False,True,True,False,False,0.056514739990234375,-7.276665687561035,0.8571429252624512,2.25
target,174,125000001,46,True,False,False,True,False,False,9.846979141235352,-2.2502007484436035,0.2222222238779068,0.5555555820465088
target,175,125000001,47,True,True,False,False,False,False,9.2100830078125,9.470686912536621,0.3333333432674408,0.4444444477558136
target,176,125000001,48,False,False,True,True,False,False,-2.565675735473633,-5.588088512420654,2.7142858505249023,3.25
target,177,125000001,49,False,True,True,False,False,False,-2.245574712753296,8.97468090057373,0.8333333730697632,0.7777777910232544
target,178,125000001,50,False,True,True,False,False,False,-1.4114654064178467,8.202430725097656,1.0,0.4444444477558136
target,179,125000001,51,True,False,False,True,False,False,10.582304000854492,-2.750805139541626,0.3333333432674408,5.1666669845581055
target,180,125000001,52,False,False,True,True,False,False,-2.9907846450805664,1.0236310958862305,2.142857313156128,1.1666667461395264
target,181,125000001,53,True,True,False,False,False,False,10.802690505981445,7.561178207397461,0.2222222238779068,0.0
